postal_code,eld,onemap
217562,TANJONG PAGAR,JALAN BESAR
307382,TANJONG PAGAR,BISHAN-TOA PAYOH
408601,MARINE PARADE,MACPHERSON
528509,ALJUNIED,TAMPINES
528510,ALJUNIED,TAMPINES
528511,ALJUNIED,TAMPINES
528512,ALJUNIED,TAMPINES
528539,ALJUNIED,TAMPINES
528540,ALJUNIED,TAMPINES
528541,ALJUNIED,TAMPINES
528542,ALJUNIED,TAMPINES
678039,MARSILING-YEW TEE,HOLLAND-BUKIT TIMAH
679696,CHUA CHU KANG,HOLLAND-BUKIT TIMAH
718840,MARSILING-YEW TEE,CHUA CHU KANG
789361,NEE SOON,ANG MO KIO
797622,ANG MO KIO,SENGKANG WEST
088906,TANJONG PAGAR,JALAN BESAR